circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
00983,40,180,1210,1214,1103
00984,23,65,527,420,302
00985,2,16,97,86,104
00986,0,0,0,0,0
00988,10,18,207,152,175
00989,0,10,78,43,80
0098A,46,68,357,865,527
00990,1,4,83,73,61
00991,1,9,146,165,152
00993,565,550,9133,3695,4241
00994,196,255,4887,1751,1879
00995,298,345,5321,2138,2694
00996,348,350,5274,2292,2731
00997,243,258,3822,1597,2130
00998,495,497,5389,2579,4140
00999,1072,979,8479,6676,10048
0099A,738,807,1477,4994,3311
0099B,7,4,8,63,105
0099C,4,12,8,68,120
01000,1616,1611,12647,9449,11510
01001,745,766,10065,4839,6324
01002,148,327,981,2555,1637
01003,139,347,1007,2116,1443
01004,201,407,973,3511,3208
01005,95,186,759,1616,1218
01006,96,234,797,1509,948
01007,255,590,2614,3909,2889
01008,29,62,579,488,358
01009,60,215,1108,1428,681
0100A,131,266,622,1852,1940
0100B,14,12,88,178,195
0100C,52,64,218,700,797
01010,105,247,1494,2737,1438
01011,153,417,1804,4052,1700
01012,62,131,757,908,567
01013,457,644,6254,4592,5565
01014,653,828,5287,6579,9450
01015,162,194,1740,1572,1881
01016,150,222,1391,1763,1839
01017,511,757,4432,5915,8044
01018,355,489,2874,3600,3710
01019,66,154,618,1185,927
0101A,0,7,12,63,71
01020,176,460,1059,3518,2451
01021,141,337,1103,2182,3928
0102A,12,7,6,25,77
0102B,5,2,4,12,48
01030,16,28,17,48,454
0103A,7,19,75,221,243
01040,0,1,29,105,77
01050,5,22,87,179,188
0105A,11,19,564,271,1066
01060,94,310,1762,2065,2028
01064,0,0,6,9,0
01066,0,0,14,9,16
0106A,23,7,11,103,170
0106B,40,14,16,111,183
01070,30,173,735,1129,796
0107A,298,595,2111,4689,3114
0107B,400,989,3713,7385,4446
0107C,576,1324,6913,10534,5818
01080,55,244,801,1430,1343
01085,5,41,98,198,181
01090,8,21,69,235,204
0109A,2,3,3,18,33
01100,34,66,201,213,444
0110A,10,55,109,280,847
01110,2,19,54,55,6
0111A,7,0,28,27,53
0111B,3,1,7,6,23
01120,2,13,51,57,58
0112A,10,14,176,93,132
0112B,0,0,9,18,35
01130,0,23,47,50,50
0113A,3,6,39,30,73
01140,0,11,26,43,47
0114A,5,8,50,107,117
01150,12,140,257,441,243
